,shem_angli,oid_rechov,k_rechov,ms_lamas,k_kivun,length,count,lights_per_meter,normalized_lights_per_meter
125,ha-melekh george,2024,1218,2214,0,189.8972127416178,96,1.751664092291885,0.010823146358255998
126,ha-mitnadv,1039,6601,924,3,570.7121807703218,168,2.4139153375277376,0.014936115046393677
127,ha-savoraim,245,2147,166,0,307.6583035010253,22,0.0715079025972939,0.0003883908948162985
128,ha-shoftim,48,334,727,1,44.35899898500739,76,1.71329384654705,0.01058484462543185
129,ha-tanaim,665,6438,495,0,215.49736569736166,66,1.0076343929388392,0.006202285501446702
130,ha-zanhanim,396,2074,379,0,62.378688382386436,130,2.0840451021202853,0.012887427393271533
131,habashan,1443,412,888,0,168.40186013567694,34,0.41535891437791783,0.0025239073698883814
132,hachotrim,19,1250,5314,0,62.06308577425767,254,13.240841935729902,0.08217767994720616
133,hadar yosef,1669,4095,1180,0,415.61782529940433,750,10.949129050716003,0.06794479868639862
134,hadassa,2752,825,1581,2,323.9203292803705,312,3.1803119478586632,0.01969588754008426
135,hagil'ad,1227,454,894,2,98.82384500271465,14,0.31743980916749154,0.0019157722903423823
136,hagimnasya ha'ivrit,126,3349,1659,1,29.355880155269997,1069,36.41519158498445,0.2261039845952146
137,hagolan,2528,6398,2345,3,478.86689265469806,1666,27.946462964845487,0.1735082123810573
138,hakalir,911,271,522,1,172.64194401986583,33,0.19114705981417068,0.0011314202376043962
139,hakhme qairuan,1797,1330,2056,2,158.96879697599476,76,0.9600735795402333,0.005906904952602043
140,hakim eliyyahu,420,6618,852,0,328.49191567976226,156,1.771825409174471,0.010948359962075145
141,hakneset hagdola,506,597,834,1,79.26710533901304,7,0.08830901507077989,0.0004927356582673921
142,hama'apilim,117,1074,5312,0,71.40354252522678,586,16.537966872905557,0.10265475979422371
143,hamatsbi'im,687,1766,606,1,120.77558872452416,264,4.702065011339545,0.029146866675571443
144,hame'liits,984,87,735,1,54.46520743240117,30,0.5508103505753491,0.0033651402401186302
145,hamishmar ha'ezerahi,499,2847,390,0,214.74694151346296,24,0.3583874470831631,0.002170081140362554
146,hamme'iri,416,2125,270,0,44.13827071804858,7,0.1585925294789048,0.0009292375087847751
147,hanevi'im,1007,188,729,0,76.92722595596054,128,1.663910252961386,0.010278143542441488
148,hanoter,664,3804,524,0,371.99791187096537,16,0.18224165568292103,0.0010761124543264694
149,haparsa,1036,2703,960,1,321.9413627802964,249,3.690436782086493,0.02286406198341545
150,haphetz hayim,546,712,2513,0,91.73653631561271,22,0.23981720788226232,0.0014336904054465028
151,har nevo,1281,456,896,2,203.0163874924239,38,0.4556707620889301,0.0027742675898035883
152,har sinai,12,364,1260,0,62.52548583589956,390,6.237456531302602,0.038682548625691676
153,har tsiyon,120,1200,7113,0,194.85733517816098,1110,18.143484150965897,0.11262596383563624
154,har'el,306,911,353,0,68.85040174722205,25,0.36310608748203405,0.0021993866650418257
155,harekhesh,899,10475,920,2,397.83806290152813,65,0.9165064877648529,0.005636327757625922
156,harugey malkhot,300,1830,672,0,122.48670597767214,72,1.4987939676856268,0.009252674558991035
157,hashlah,1226,466,882,1,112.65628008286959,28,0.5282280897197391,0.003224891154179346
158,hashofet nofech,718,1091,943,0,58.200830368702704,6,0.10309131264949235,0.0005845423970502311
159,hashoshanim,1020,6018,945,0,194.20708300481522,60,1.0692674082057863,0.006585062678193551
160,hat'eena,875,756,1015,0,100.93068743309675,51,0.5052972618838649,0.003082477262834472
161,hatanya,652,257,504,1,67.31873088807184,25,0.3713676664755683,0.002250695916567477
162,hatarucha,1720,609,1206,0,219.4068782900483,981,15.121882175930109,0.09386004319639131
163,hatassim derakh,67,1488,5202,0,132.80584155368783,248,3.901930749031802,0.02417756357368621
164,hatikva,70,4017,2778,0,77.32392566155532,660,8.53552111268641,0.05295487764665661
165,hatnupha,88,7572,4922,0,70.25658353063281,1718,48.95066762916228,0.3039566437355407
166,hatsor,408,855,262,0,73.89264569986922,10,0.13533146506375124,0.0007847726545764487
167,hatzionut,2327,1569,2727,6,290.08714824643573,111,1.2798726637268472,0.007893044849230264
168,hausner,230,2112,271,0,144.63889265864668,136,0.9402726853071615,0.005783929784848684
169,hayarkon,8704,324,5532,5,1142.0564902465283,6792,93.03571179692135,0.5777506268825026
170,heh b'iyar,4707,3402,5496,6,654.847658431787,228,2.0969231107353368,0.012967407380595545
171,hel mishmar,390,2841,402,2,307.18906883177476,36,0.38506189458321405,0.00233574510570853
172,helsinki,1708,1010,1864,0,272.7429766816368,20,0.1798049324805523,0.0010609789739365126
173,herutenu,97,3672,2821,0,32.03483036495543,118,3.6834907085722026,0.022820922792548996
