x,y
34.781005,32.049875
34.770472,32.053203
34.833003,32.123732
34.779395,32.082271
34.767207,32.076953
34.799193,32.116423
34.808245,32.047127
34.804724,32.124259
34.78788,32.113392
34.804697,32.050762
34.781777,32.081473
34.749221,32.048896
34.776231,32.094734
34.831757,32.12849
34.786348,32.082367
34.78094,32.063665
34.769485,32.054179
34.797273,32.095221
34.788632,32.07321
34.795647,32.061561
34.778069,32.09869
34.791056,32.051197
34.786361,32.080995
34.753152,32.046693
34.778106,32.055534
34.769598,32.070564
34.824577,32.114614
34.769788,32.08529
34.811156,32.053539
34.758352,32.05808
34.789442,32.085156
34.777455,32.055046
34.840878,32.117612
34.777918,32.084287
34.780568,32.077557
34.776671,32.064168
34.750813,32.046972
34.782305,32.088537
34.779219,32.071253
34.789834,32.102658
34.79471,32.060111
34.799619,32.049368
34.791665,32.115216
34.789203,32.103356
34.76128,32.063992
34.777601,32.048019
34.768293,32.054223
34.799428,32.101153
34.773566,32.095197
34.783678,32.072579
34.818303,32.109105
34.795375,32.103886
34.80749,32.110867
34.776811,32.060735
34.788261,32.051038
34.769544,32.0438
34.804549,32.105753
34.757685,32.050284
34.788994,32.128224
34.774914,32.061619
34.783172,32.078603
34.764574,32.050114
34.796926,32.123205
34.758735,32.054518
34.830274,32.127599
34.798468,32.076173
34.808613,32.046953
34.799042,32.04707
34.773757,32.065605
34.825349,32.116457
34.764264,32.058932
34.777603,32.045529
34.790195,32.051828
34.780024,32.04347
34.796494,32.067205
34.781667,32.060159
34.7803,32.046644
34.815328,32.108113
34.770846,32.081546
34.774945,32.046851
34.769843,32.072828
34.775701,32.091726
34.764533,32.062485
34.768319,32.070648
34.778224,32.051732
34.786706,32.051829
34.750852,32.042008
34.839145,32.123491
34.776121,32.07249
34.78235,32.050436
34.763049,32.063949
34.75791,32.047945
34.807721,32.123782
34.770793,32.054928
34.79223,32.051527
34.798219,32.089679
34.76779,32.07287
34.800708,32.067021
34.792623,32.12473
34.746889,32.047574
34.756568,32.05312
34.772943,32.063416
34.777975,32.043172
34.778527,32.08874
34.825274,32.123835
34.773902,32.060462
34.779482,32.061477
34.782007,32.054799
34.80828,32.045098
34.776193,32.041108
34.760128,32.044831
34.78324,32.092249
34.768367,32.069528
34.791314,32.103982
34.771655,32.052803
34.760798,32.05928
34.77999,32.090872
34.764328,32.048398
34.786988,32.113722
34.772243,32.080582
34.820774,32.112913
34.779184,32.054399
34.841695,32.122461
34.796113,32.048711
34.837452,32.114625
34.777971,32.06656
34.775714,32.050002
34.770504,32.090451
34.784469,32.063182
34.765485,32.056442
34.787108,32.059313
34.75364,32.052961
34.764901,32.056296
34.808103,32.051955
34.83699,32.111542
34.793735,32.050088
34.797768,32.050701
34.794097,32.123657
34.824479,32.114051
34.817993,32.109582
34.788876,32.064588
34.777674,32.068308
34.784356,32.083132
34.805791,32.058893
34.791841,32.05099
34.778684,32.088822
34.822753,32.109274
34.828557,32.114854
34.790638,32.085696
34.788037,32.072763
34.788101,32.081591
34.766715,32.060506
34.784397,32.054518
34.788008,32.069425
34.748779,32.041306
34.795396,32.05745
34.792697,32.112498
34.797944,32.063293
34.801772,32.061474
34.803876,32.064043
34.760705,32.063749
34.806765,32.108892
34.769582,32.044219
34.802747,32.044856
34.753664,32.053695
34.828421,32.115069
34.785871,32.082208
34.795746,32.048373
34.808399,32.047022
34.750257,32.047778
34.762534,32.061374
34.775805,32.092567
34.753989,32.041267
34.798829,32.098448
34.771445,32.088317
34.767935,32.053398
34.777571,32.092698
34.79611,32.049034
34.807486,32.050663
34.784819,32.079196
34.826491,32.12725
34.821531,32.10735
34.752251,32.053213
34.772364,32.065158
34.794455,32.053561
34.825207,32.112047
34.790504,32.107541
34.75579,32.044761
34.834797,32.124262
34.771429,32.042663
34.771455,32.090277
34.779831,32.079765
34.789446,32.113277
34.800193,32.048009
34.788827,32.070234
34.807689,32.117176
34.768324,32.080359
34.832898,32.127388
34.839557,32.115577
34.763281,32.053969
34.764474,32.072057
34.771136,32.091514
34.771482,32.057626
34.781373,32.088605
34.803822,32.05059
34.787892,32.076632
34.803976,32.096401
34.767311,32.060624
34.836182,32.116004
34.835542,32.11548
34.832881,32.119348
34.789868,32.091125
34.833951,32.123061
34.805116,32.05069
34.748416,32.049073
34.790783,32.043228
34.794959,32.050789
34.772107,32.089486
34.816603,32.11048
34.7926,32.049882
34.789278,32.100162
34.798624,32.079401
34.764466,32.056837
34.774629,32.087617
34.752085,32.042717
34.786236,32.115133
34.790131,32.054071
34.812031,32.112319
34.760314,32.060735
34.830891,32.127108
34.772872,32.086043
34.793376,32.089155
34.788991,32.103
34.806619,32.055127
34.797705,32.051283
34.785215,32.080673
34.79387,32.097066
34.75677,32.046375
34.786361,32.065524
34.791289,32.086684
34.768133,32.075231
34.76999,32.071045
34.782107,32.118758
34.822937,32.106454
34.78965,32.046103
34.778593,32.043748
34.783889,32.066957
34.792709,32.063867
34.825299,32.117542
34.806925,32.052169
34.778525,32.087265
34.789042,32.070213
34.755909,32.047111
34.837985,32.11131
34.772236,32.070742
34.836084,32.114564
34.798482,32.085279
34.764418,32.056967
34.747727,32.041521
34.77928,32.09508
34.758015,32.046601
34.789856,32.04827
34.829637,32.11219
34.776645,32.052849
34.818428,32.107455
34.783193,32.049842
34.794771,32.04835
34.828235,32.116974
34.789983,32.090214
34.792414,32.125005
34.796519,32.069849
34.778899,32.071189
34.797734,32.116792
34.793869,32.076697
34.807564,32.046046
34.791414,32.057908
34.835422,32.11594
34.798509,32.073189
34.807404,32.124558
34.789955,32.063763
34.778095,32.042797
